Localization,1.0.0,,,,,,,,,,,,
ID,en:English,ja:Japanese,zh:Chinese,zh-CN:ChineseSimplified,zh-TW:ChineseTraditional,fr:French,es:Spanish,ko:Korean,id:Indonesian,th:Thai,ar:Arabic,ru:Russian,de:German
#Modal,,,,,,,,,,,,,
Error,Error,エラー,错误,错误,錯誤,Erreur,Error,오류,Kesalahan,ความผิดพลาด,خطأ,ошибка,Error
ERROR,ERROR,エラー,错误,错误,錯誤,ERREUR,ERROR,오류,KESALAHAN,ข้อผิดพลาด,خطأ,ОШИБКА,ERROR
Confirmation,Confirmation,確認,确认,确认,確認,Confirmation,Confirmación,확인,Konfirmasi,การยืนยัน,التأكيد,подтверждение,Bestätigung
Success,Success,成功,成功,成功,成功,Succès,Éxito,성공,Keberhasilan,ความสำเร็จ,نجاح,успех,Erfolg
Submit,Submit,決定,提交,提交,提交,Soumettre,Enviar,결정,Menyerahkan,เสนอ,خضع,Отправить,einreichen
Cancel,Cancel,取消,取消,取消,取消,Annuler,Cancelar,취소,Membatalkan,ยกเลิก,إلغاء,Отмена,Stornieren
Select,Select,選択,选择,选择,選擇,Sélectionner,Seleccionar,선택,Memilih,เลือก,تحديد,Выбрать,Wählen
Quit,Quit,終了,放弃,放弃,放棄,Quitter,Dejar,종료,Berhenti,เลิก,استقال,Уволиться,Verlassen
Next,Next,次へ,下一个,下一个,下一個,Prochain,Siguiente,다음에,Berikutnya,ต่อไป,التالى,следующий,Nächster
Prev,Prev,前へ,上一页,上一页,上一頁,Précédent,Anterior,이전,prev,ก่อนหน้า,السابق,Предыдущая,Zurück
Forward,Forward,すすむ,前锋,前锋,前鋒,Vers l'avant,Adelante,스스무,Meneruskan,ข้างหน้า,إلى الأمام,Вперед,Nach vorne
Back,Back,もどる,背部,背部,背部,Arrière,Espalda,돌아 가기,Kembali,กลับ,الى الخلف,назад,Zurück
Menu,Menu,メニュー,菜单,菜单,菜單,Menu,Menú,메뉴,Menu,เมนู,قائمة طعام,Меню,Speisekarte
Yes,Yes,はい,是,是,是,Oui,Sí,예,iya nih,ใช่,نعم فعلا,да,Ja
No,No,いいえ,没有,没有,沒有,Non,No,아니오,Tidak,ไม่,لا,нет,Nein
Submit,Submit,決定,提交,提交,提交,Soumettre,Enviar,결정,Menyerahkan,เสนอ,خضع,Отправить,einreichen
Abort,Abort,中断,退出,退出,退出,Avorter,Abortar,중단,Menggugurkan,ทำแท้ง,إحباط,выкинуть,Abbrechen
OK,OK,OK,好,好,好,D'accord,DE ACUERDO,OK,baik,ตกลง,حسنا,ОК,OK
Close,Close,とじる,关,关,關,Fermer,Cerca,제본,Dekat,ปิด,قريب,Закрыть,Schließen
Aborted,It was aborted,中断されました,它被中止,它被中止,它被中止,Il a été annulé,Fue abortado,중단되었습니다,Itu dibatalkan,มันถูกยกเลิก,تم إحباط ذلك,Это было прервано,Es wurde abgebrochen
Would you like to try again?,Would you like to try again?,もう一度やりなおしますか？,你想再试一次吗？,你想再试一次吗？,你想再試一次嗎？,Souhaitez-vous essayer à nouveau?,¿Le gustaría volver a intentarlo?,다시 시도 하시겠습니까?,Apakah Anda ingin mencoba lagi?,คุณต้องการที่จะลองอีกครั้งหรือไม่,هل تود أن تجرب مجددا؟,Хотели бы вы попробовать еще раз?,Würdest du es gerne nochmal versuchen?
The settings so far will be lost. Is it OK?,The settings so far will be lost. Is it OK?,これまでの設定が失われてしまいますがよろしいでしょうか？,设置到目前为止都将丢失。可以吗？,设置到目前为止都将丢失。可以吗？,設置到目前為止都將丟失。可以嗎？,Les paramètres jusqu'à présent seront perdus. Est-ce que c'est bon?,Los ajustes hasta el momento se perderán. ¿Está bien?,지금까지의 설정이 손실 될 수 있지만 좋을까요?,Pengaturan sejauh akan hilang. Apakah itu OK?,การตั้งค่าเพื่อให้ห่างไกลจะหายไป มันตกลง?,الإعدادات ستفقد حتى الآن. هل الامور على ما يرام؟,Настройки пока будут потеряны. Это нормально?,Die Einstellungen so weit wird verloren gehen. Ist es o.k?
"Would you like to return, is it OK?","Would you like to return, is it OK?",戻りますがよろしいですか？,你想退货，可以吗？,你想退货，可以吗？,你想退貨，可以嗎？,"Voulez-vous revenir, est-il d'accord?","¿Le gustaría volver, ¿está bien?",돌아가지만 하시겠습니까?,"Apakah Anda ingin kembali, itu OK?",คุณต้องการที่จะกลับมามันก็โอเค?,هل ترغب في العودة، هل هو موافق؟,"Вы хотите, чтобы вернуться, нормально ли это?","Würden Sie gerne zurückkehren, ist es in Ordnung?"
Game will be shutdown and returning. Is is OK?,Game will be shutdown and returning. Is is OK?,ゲームを終了し、戻りますがよろしいですか？,游戏将关闭并返回。是正常？,游戏将关闭并返回。是正常？,遊戲將關閉並返回。是正常？,Jeu sera arrêté et le retour. Is est OK?,Juego será apagado y regresar. Es decir está bien?,게임을 종료하고 돌아가지만 하시겠습니까?,Game akan shutdown dan kembali. Apakah OK?,เกมจะปิดและกลับมา มีที่เป็น OK?,والمباراة ستكون الاغلاق والعودة. غير ما يرام؟,Игра будет остановка и возвращение. Является ли это хорошо?,Spiel wird Abschaltung und Rückkehr sein. In Ordnung ist?
Quit the application,Quit the application.,アプリを終了します。,退出应用程序。,退出应用程序。,退出應用程序。,Quittez l'application.,Salir de la aplicación.,응용 프로그램을 종료합니다.,Keluar dari aplikasi.,ออกจากโปรแกรมประยุกต์,إنهاء التطبيق.,Выход из приложения.,Beenden Sie die Anwendung.
{0} hours,{0} hours,{0}時間,{0}小时,{0}小时,{0}小時,{0} heures,{0} horas,{0} 시간,{0} jam,{0} ชั่วโมง,{0} ساعات,{0} часов,{0} Stunden
After {0} hours,After {0} hours,あと{0}時間,{0}小时后,{0}小时后,{0}小時後,Après {0} heures,Después {0} horas,그리고 {0} 시간,Setelah {0} jam,หลังจาก {0} ชั่วโมง,بعد {0} ساعات,"После того, как {0} часов",Nach {0} Stunden
Available immediately,Available immediately,すぐに利用できます,立即可用,立即可用,立即可用,Disponible immédiatement,Disponible inmediatamente,즉시 사용할 수 있습니다,Segera tersedia,สามารถใช้ได้ทันที,تتوفر على الفور,Доступен немедленно,Sofort verfügbar
Application will be quit. Is it OK?,Application will be quit. Is it OK?,アプリケーションを終了します。よろしいですか？,应用程序将被退出。可以吗？,应用程序将被退出。可以吗？,應用程序將被退出。可以嗎？,sera quitter l'application. Est-ce que c'est bon?,se dejó de aplicación. ¿Está bien?,응용 프로그램을 종료합니다. 하시겠습니까?,Aplikasi akan berhenti. Apakah itu OK?,แอพลิเคชันจะเลิก มันตกลง?,سيتم إنهاء التطبيق. هل الامور على ما يرام؟,Заявка будет бросить курить. Это нормально?,Die Anwendung wird verlassen werden. Ist es o.k?
#Purchase,,,,,,,,,,,,,
Get,Get,ゲット,得到,得到,得到,Obtenir,Obtener,겟,Mendapatkan,ได้รับ,احصل على,Получить,Bekommen
Purchase,Purchase,購入,采购,采购,採購,achat,Compra,구매,Membeli,ซื้อ,شراء,покупка,Kauf
Purchasing system is not supported on this platform,Purchasing system is not supported on this platform.,この端末は課金システムに対応していません。,采购系统不支持此平台上。,采购系统不支持此平台上。,採購系統不支持此平台上。,système d'achat est pas pris en charge sur cette plate-forme.,sistema de compras no es compatible con esta plataforma.,이 단말기는 과금 시스템을 지원하지 않습니다.,sistem pembelian tidak didukung pada platform ini.,ระบบการจัดซื้อไม่ได้รับการสนับสนุนบนแพลตฟอร์มนี้,لا يتم اعتماد نظام الشراء على هذه المنصة.,Система закупок не поддерживается на этой платформе.,Beschaffungssystem wird auf dieser Plattform nicht unterstützt.
Purchase [Name] with [Price] Prizm. Is it OK?,Purchase [Name] with [Price] Prizm. Is it OK?,[Name]を[Price]プリズムで購入します。よろしいですか？,购买的{0} [Price] PRIZM。可以吗？,购买的{0} [Price] PRIZM。可以吗？,購買的{0} [Price] PRIZM。可以嗎？,Achat [Name] [Price] avec Prizm. Est-ce que c'est bon?,Compra [Name] [Price] con Prizm. ¿Está bien?,[Name을 [Price] 프리즘 구매합니다. 하시겠습니까?,Pembelian [Name] dengan [Price] Prizm. Apakah itu OK?,ซื้อ [Name] ด้วย [Price] พริซึ่ม มันตกลง?,شراء [Name] مع [Price] PRIZM. هل الامور على ما يرام؟,Покупка [Name] [Price] Prizm. Это нормально?,Erwerben Sie [Name] mit [Price] Prizm. Ist es o.k?
You do not have enough Prizm,You do not have enough Prizm,プリズムが足りません,您没有足够的PRIZM,您没有足够的PRIZM,您沒有足夠的PRIZM,Vous n'avez pas assez Prizm,Usted no tiene suficiente Prizm,프리즘이 충분하지 않습니다,Anda tidak memiliki cukup Prizm,คุณไม่ได้มีมากพอพริซึ่ม,لم يكن لديك ما يكفي من PRIZM,Вам не хватает Prizm,Sie haben nicht genug Prizm
You do not have enough Prizm. It can be added newly.,You do not have enough Prizm. It can be added newly.,プリズムが足りません。新しく追加できます。,您没有足够的PRIZM。它可以新追加。,您没有足够的PRIZM。它可以新追加。,您沒有足夠的PRIZM。它可以新追加。,Vous n'avez pas assez Prizm. Il peut être ajouté récemment.,Usted no tiene suficiente Prizm. Puede ser agregado recientemente.,프리즘이 충분하지 않습니다. 새로 추가 할 수 있습니다.,Anda tidak memiliki cukup Prizm. Hal ini dapat ditambahkan baru.,คุณไม่ได้มีมากพอพริซึ่ม ก็สามารถที่จะเพิ่มเข้ามาใหม่,لم يكن لديك ما يكفي من PRIZM. ويمكن المضافة حديثا.,Вам не хватает Prizm. Он может быть добавлен вновь.,Sie haben nicht genug Prizm. Es kann neu hinzugefügt werden.
You do not have enough Gold.,You do not have enough Gold.,ゴールドが足りません。,你没有足够的黄金。,你没有足够的黄金。,你沒有足夠的黃金。,Vous n'avez pas assez d'or.,Usted no tiene suficiente oro.,골드가 부족합니다.,Anda tidak memiliki cukup emas.,คุณไม่ได้มีทองพอ,لم يكن لديك ما يكفي من الذهب.,Вам не хватает золота.,Sie haben nicht genug Gold.
You do not have enough Ticket.,You do not have enough Ticket.,チケットが足りません。,您没有足够的票。,您没有足够的票。,您沒有足夠的票。,Vous n'avez pas assez de billets.,Usted no tiene suficientes entradas.,티켓이 충분하지 않습니다.,Anda tidak memiliki cukup Ticket.,คุณไม่ได้ตั๋วพอ,لم يكن لديك ما يكفي من التذاكر.,Вам не хватает билетов.,Sie haben nicht genug Ticket.
This item already possessed.,This item already possessed.,このアイテムはすでに所持しています。,此产品已经具备。,此产品已经具备。,此產品已經具備。,Cet article possédait déjà.,Este objeto ya poseía.,이 항목은 이미 소지하고 있습니다.,Item ini sudah dimiliki.,รายการนี้ครอบครองอยู่แล้ว,هذا البند تمتلك بالفعل.,Этот пункт уже обладал.,Dieser Artikel ist bereits besaß.
You can not charge any more this month. Please wait until the next month.,You can not charge any more this month. Please wait until the next month.,今月はこれ以上課金できません。次の月までお待ち下さい。,你可以不收取任何更多的这个月。请等到下个月。,你可以不收取任何更多的这个月。请等到下个月。,你可以不收取任何更多的這個月。請等到下個月。,Vous ne pouvez pas charger plus ce mois-ci. S'il vous plaît attendre le mois suivant.,"No se puede cargar más este mes. Por favor, espere hasta que el próximo mes.",이번 달은 더 이상 청구 할 수 없습니다. 다음 달까지 기다려주십시오.,Anda tidak dapat mengisi lagi bulan ini. Harap menunggu sampai bulan depan.,คุณไม่สามารถคิดค่าบริการใด ๆ เพิ่มเติมในเดือนนี้ กรุณารอสักครู่จนกว่าจะถึงเดือนถัดไป,لا يمكن اتهام أي أكثر من هذا الشهر. يرجى الانتظار حتى الشهر المقبل.,"Вы не можете зарядить больше в этом месяце. Пожалуйста, подождите до следующего месяца.",Sie können nicht mehr in diesem Monat berechnen. Bitte warten Sie bis zum nächsten Monat.
Purchase is complete!,Purchase is complete!,購入が完了しました！,购买完成！,购买完成！,購買完成！,L'achat est terminée!,Compra es completa!,구매가 완료되었습니다!,Pembelian selesai!,ซื้อเสร็จสมบูรณ์แล้ว!,شراء اكتمال!,Покупка завершена!,Kauf ist abgeschlossen!
Age verification,Age verification,年齢認証,年龄验证,年龄验证,年齡驗證,Verification de l'AGE,Verificación de edad,연령 인증,Verifikasi umur,การตรวจสอบอายุ,تاكيد السن,Подтверждение возраста,Altersüberprüfung
Age verification comment,Please select your age,あなたの年齢を選択して下さい,请选择您的年龄,请选择您的年龄,請選擇您的年齡,S'il vous plaît choisir votre âge,Por favor seleccione su edad,당신의 나이를 선택하십시오,Silakan pilih usia Anda,กรุณาเลือกอายุของคุณ,الرجاء تحديد عمرك,"Пожалуйста, выберите возраст",Bitte wählen Sie Ihr Alter
Age Under16,Under 16,16歳以下,在16,在16,在16,moins de 16 ans,Menores de 16 años,16 세 이하,Dibawah 16 tahun,อายุต่ำกว่า 16,أقل من 16,до 16 лет,Unter 16
Age Under16 comment,Charge limit: [Limit] Prizm / month,課金制限：[Limit]プリズム / 月,充电限制：[Limit] PRIZM /月,充电限制：[Limit] PRIZM /月,充電限制：[Limit] PRIZM /月,Limite de charge: [Limit] Prizm / mois,Carga límite: [Limit] Prizm / mes,결제 제한 : [Limit] 프리즘 / 월,Batas muatan: [Limit] Prizm / bulan,วงเงินค่าใช้จ่าย: [Limit] พริซึ่ม / เดือน,الحد المسؤول: [Limit] PRIZM / شهر,Предел зарядки: [Limit] Prizm / месяц,Gebührenlimit: [Limit] Prizm / Monat
Age Under19,Under 19,19歳以下,19岁以下,19岁以下,19歲以下,moins de 19 ans,menores de 19 años,19 세 이하,di bawah 19,ต่ำกว่า 19,أقل من 19,до 19 лет,unter 19
Age Under19 comment,Charge limit: [Limit] Prizm / month,課金制限：[Limit]プリズム / 月,收费限额：[Limit] PRIZM /月,收费限额：[Limit] PRIZM /月,收費限額：[Limit] PRIZM /月,Limite de charge: 20 000 Prizm / mois,Carga límite: [Limit] Prizm / mes,결제 제한 : [Limit] 프리즘 / 월,Batas biaya: [Limit] Prizm / bulan,วงเงินค่าใช้จ่าย: [Limit] พริซึ่ม / เดือน,الحد المسؤول: [Limit] PRIZM / شهر,Предел обязанности: [Limit] Prizm / месяц,Gebührenlimit: [Limit] Prizm / Monat
Age Over20,Over 20,20歳以上,超过20个,超过20个,超過20個,Plus de 20,Más de 20,20 세 이상,lebih dari 20,กว่า 20,فوق 20,Более 20,Über 20
Age Over20 comment,Charge limit: None,課金制限：なし,充电限制：无,充电限制：无,充電限制：無,Limite de charge: Aucun,el límite de gasto: Ninguno,결제 제한 : 없음,Batas biaya: Tidak ada,วงเงินค่าใช้จ่าย: ไม่มี,الحد المسؤول: لا يوجد,не предел заряда: Нет,Gebührenlimit: Keine
#Gacha,,,,,,,,,,,,,
GetByPrizm,Get by Prizm,プリズムでゲット,通过PRIZM获取,通过PRIZM获取,通過PRIZM獲取,Obtenez par Prizm,Obtener por Prizm,프리즘 획득,Dapatkan oleh Prizm,ได้รับโดยพริซึ่ม,تحصل من قبل PRIZM,Получить по Prizm,Erhalten von Prizm
GetByGold,Get by Gold,ゴールドでゲット,通过黄金获得,通过黄金获得,通過黃金獲得,Obtenez par Gold,Obtener por Gold,골드 획득,Dapatkan dengan Emas,โดยได้รับทอง,الحصول عليها عن طريق الذهب,Получить на золото,Erhalten Sie durch Gold
GetByMulti,10 shot & 1 rare gacha,レア1確定 11連ガチャ,10截取1个嘎查罕见,10截取1个嘎查罕见,10截取1個嘎查罕見,10 et 1 coup gacha rare,10 disparos y 1 Gacha rara,레어 1 확정 11 연 가챠,10 tembakan & 1 gacha langka,10 ยิง & 1 Gacha หายาก,10 بالرصاص و1 gacha نادرة,10 выстрела и 1 редкий Gacha,10 & Schuss 1 rare gacha
