Localization,1.0.0,,,,,,,,,,,,
ID,en:English,ja:Japanese,zh:Chinese,zh-CN:ChineseSimplified,zh-TW:ChineseTraditional,fr:French,es:Spanish,ko:Korean,id:Indonesian,th:Thai,ar:Arabic,ru:Russian,de:German
%%FontName%%,NotoSans-Bold,NotoSansCJKjp-Bold,NotoSansCJKsc-Bold,NotoSansCJKsc-Bold,NotoSansCJKtc-Bold,NotoSans-Bold,NotoSans-Bold,NotoSansCJKkr-Bold,NotoSans-Bold,NotoSansThai-Bold,NotoNaskhArabic-Bold,NotoSans-Bold,NotoSans-Bold
%%FontPath:Default%%,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.ja,http://munism.net/api/font/1/default.zh-cn,http://munism.net/api/font/1/default.zh-cn,http://munism.net/api/font/1/default.zh-tw,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.ko,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.th,http://munism.net/api/font/1/default.ar,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.en
%%FontPath:WebGL%%,http://munism.net/api/font/1/webgl.en,http://munism.net/api/font/1/webgl.ja,http://munism.net/api/font/1/webgl.zh-cn,http://munism.net/api/font/1/webgl.zh-cn,http://munism.net/api/font/1/webgl.zh-tw,http://munism.net/api/font/1/webgl.en,http://munism.net/api/font/1/webgl.en,http://munism.net/api/font/1/webgl.ko,http://munism.net/api/font/1/webgl.en,http://munism.net/api/font/1/webgl.th,http://munism.net/api/font/1/webgl.ar,http://munism.net/api/font/1/webgl.en,http://munism.net/api/font/1/webgl.en
%%FontPath:WSA%%,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.ja,http://munism.net/api/font/1/default.zh-cn,http://munism.net/api/font/1/default.zh-cn,http://munism.net/api/font/1/default.zh-tw,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.ko,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.th,http://munism.net/api/font/1/default.ar,http://munism.net/api/font/1/default.en,http://munism.net/api/font/1/default.en
%%FontPath:Android%%,http://munism.net/api/font/1/android.en,http://munism.net/api/font/1/android.ja,http://munism.net/api/font/1/android.zh-cn,http://munism.net/api/font/1/android.zh-cn,http://munism.net/api/font/1/android.zh-tw,http://munism.net/api/font/1/android.en,http://munism.net/api/font/1/android.en,http://munism.net/api/font/1/android.ko,http://munism.net/api/font/1/android.en,http://munism.net/api/font/1/android.th,http://munism.net/api/font/1/android.ar,http://munism.net/api/font/1/android.en,http://munism.net/api/font/1/android.en
%%FontPath:iPhone%%,http://munism.net/api/font/1/ios.en,http://munism.net/api/font/1/ios.ja,http://munism.net/api/font/1/ios.zh-cn,http://munism.net/api/font/1/ios.zh-cn,http://munism.net/api/font/1/ios.zh-tw,http://munism.net/api/font/1/ios.en,http://munism.net/api/font/1/ios.en,http://munism.net/api/font/1/ios.ko,http://munism.net/api/font/1/ios.en,http://munism.net/api/font/1/ios.th,http://munism.net/api/font/1/ios.ar,http://munism.net/api/font/1/ios.en,http://munism.net/api/font/1/ios.en
Store release mode,Store release mode,ストアリリースモード,商店发布模式,商店发布模式,商店發布模式,Mode de sortie de magasin,modo de liberación de tienda,스토어 출시 모드,Modus toko rilis,โหมดการเปิดตัวร้าน,وضع مخزن الإفراج,Режим релиз магазина,Shop Freigabemodus
Japanese,Japanese,日本語,日本,日本,日本,Japonais,japonés,일본어,Jepang,ญี่ปุ่น,اليابانية,Японский,japanisch
English,English,英語,英语,英语,英語,Anglais,Inglés,영어,Inggris,อังกฤษ,الإنجليزية,английский,Englisch
Chinese,Chinese,中国語,中文,中文,中文,chinois,chino,중국,Cina,ชาวจีน,صينى,Китайский,Chinesisch
ChineseTraditional,Chinese - Traditional,中国語（繁体）,中国传统的,中国传统的,中國傳統的,Chinois - Traditionnel,Chino tradicional,중국어 (번체),Cina tradisional,จีน - ดั้งเดิม,تقاليد صينية,Китайский традиционный,Chinesische Tradition
ChineseSimplified,Chinese - Simplified,中国語（簡体）,简体中文,简体中文,簡體中文,Chinois simplifié,Chino simplificado,중국어 (간체),Bahasa Tiongkok yang disederhanakan,จีน - สมัยใหม่,الصينية المبسطة,Китайский упрощенный,Vereinfachtes Chinesisch
French,French,フランス語,法国,法国,法國,français,francés,프랑스어,Perancis,ฝรั่งเศส,الفرنسية,Французский,Französisch
Spanish,Spanish,スペイン語,西班牙语,西班牙语,西班牙語,Espanol,Español,스페인어,Spanyol,สเปน,الأسبانية,испанский,Spanisch
Korean,Korean,韓国語,朝鲜的,朝鲜的,朝鮮的,coréen,coreano,한국,Korea,เกาหลี,الكورية,Корейский,Koreanisch
Indonesian,Indonesian,インドネシア語,印度尼西亚,印度尼西亚,印度尼西亞,indonésien,indonesio,인도네시아어,bahasa Indonesia,ชาวอินโดนีเซีย,الأندونيسية,индонезийский,Indonesier
Thai,Thai,タイ語,泰国,泰国,泰國,thaïlandais,tailandés,타이어,Thai,ไทย,التايلاندية,тайский,thailändisch
Arabic,Arabic,アラビア語,阿拉伯,阿拉伯,阿拉伯,arabe,Arábica,아랍어,Arab,ภาษาอาหรับ,عربى,арабский,Arabisch
Russian,Russian,ロシア語,俄语,俄语,俄語,russe,ruso,러시아어,Rusia,รัสเซีย,الروسية,русский,Russisch
TranslateFrom,Translate from {0},{0}から翻訳,从翻译{0},从翻译{0},從翻譯{0},Traduire de {0},Traducir {0},{0}에서 번역,Menerjemahkan dari {0},แปลจาก {0},ترجمة من {0},Перевести с {0},Übersetzen von {0}
Store release mode comment,Switch to the mode for releasing to the Google Play store or AppStore. Please release this application after releasing this mode when releasing the application.,Google PlayストアやAppStoreにリリースする際のモードにします。アプリをリリースする際は必ずこのモードにしてからリリースして下さい。,切换到模式释放到谷歌Play商店AppStore的或。请释放应用程序时释放此模式后，发布该应用程序。,切换到模式释放到谷歌Play商店AppStore的或。请释放应用程序时释放此模式后，发布该应用程序。,切換到模式釋放到谷歌Play商店AppStore的或。請釋放應用程序時釋放此模式後，發布該應用程序。,Passez au mode de libération du Google Play magasin ou AppStore. S'il vous plaît libérer cette application après avoir relâché ce mode lors du relâchement de l'application.,"Cambiar al modo para liberar a la tienda Google Play o App Store. Por favor, liberar esta aplicación después de la liberación de este modo cuando la liberación de la aplicación.",Google Play 스토어 나 AppStore에 출시 할 모드로합니다. 앱을 출시 할 때마다이 모드에서 출시하십시오.,Beralih ke mode untuk melepaskan ke Google Play Store atau AppStore. Silakan merilis aplikasi ini setelah merilis mode ini saat merilis aplikasi.,สลับไปโหมดสำหรับการปล่อยให้กับร้านค้า Google Play หรือ AppStore กรุณาปล่อยโปรแกรมนี้หลังจากปล่อยโหมดนี้เมื่อปล่อยแอพลิเคชัน,التبديل إلى وضع للإفراج عن لمتجر Google Play أو أبستور. يرجى الافراج عن هذا التطبيق بعد الإفراج عن هذا الوضع عندما الافراج عن التطبيق.,"Переключение в режим для выпуска в Google Play магазин или AppStore. Пожалуйста, отпустите это приложение после выхода из этого режима при отпускании приложения.","Wechseln Sie in den Modus für die Freigabe an den Google Play Store oder App Store. Bitte lösen Sie diese Anwendung nach diesem Modus freigibt, wenn die Anwendung freigegeben wird."
Other store release mode,Other store release mode,他ストアリリースモード,其他商店发布模式,其他商店发布模式,其他商店發布模式,Autre mode de sortie de magasin,Otro modo de liberación de tienda,다른 스토어 출시 모드,Modus toko rilis lainnya,โหมดการจัดเก็บการเปิดตัวอื่น ๆ,طريقة أخرى إطلاق متجر,Другой режим магазина релиз,Andere Speicher Freigabemodus
